                  1         2         3         4         5         6         7         8         9
  7.00E-07  1.24E-06  5.01E-07  1.88E-06  2.13E-06  1.16E-06  3.32E-06  3.23E-06  3.00E-06  2.45E-07
  8.86E-07  1.23E-06  5.00E-07  1.88E-06  2.13E-06  1.16E-06  3.32E-06  3.22E-06  3.00E-06  2.45E-07
  1.12E-06  1.23E-06  5.01E-07  1.88E-06  2.13E-06  1.16E-06  3.32E-06  3.23E-06  2.99E-06  2.45E-07
  1.41E-06  1.23E-06  5.00E-07  1.88E-06  2.13E-06  1.16E-06  3.32E-06  3.22E-06  3.00E-06  2.45E-07
  1.78E-06  1.23E-06  5.00E-07  1.88E-06  2.13E-06  1.16E-06  3.32E-06  3.22E-06  3.00E-06  2.45E-07
  2.24E-06  1.23E-06  5.00E-07  1.87E-06  2.13E-06  1.16E-06  3.32E-06  3.22E-06  3.00E-06  2.45E-07
  2.81E-06  1.23E-06  5.00E-07  1.87E-06  2.13E-06  1.16E-06  3.32E-06  3.22E-06  2.99E-06  2.45E-07
  3.52E-06  1.23E-06  5.00E-07  1.87E-06  2.13E-06  1.16E-06  3.32E-06  3.22E-06  2.99E-06  2.45E-07
  4.40E-06  1.23E-06  5.00E-07  1.87E-06  2.13E-06  1.16E-06  3.31E-06  3.22E-06  2.99E-06  2.45E-07
  5.49E-06  1.23E-06  5.00E-07  1.87E-06  2.13E-06  1.16E-06  3.31E-06  3.22E-06  2.99E-06  2.45E-07
  6.85E-06  1.23E-06  4.99E-07  1.87E-06  2.13E-06  1.16E-06  3.31E-06  3.22E-06  2.99E-06  2.45E-07
  8.51E-06  1.23E-06  4.99E-07  1.87E-06  2.12E-06  1.16E-06  3.31E-06  3.22E-06  2.99E-06  2.45E-07
  1.06E-05  1.23E-06  4.99E-07  1.87E-06  2.12E-06  1.16E-06  3.31E-06  3.22E-06  2.99E-06  2.45E-07
  1.31E-05  1.23E-06  4.99E-07  1.87E-06  2.12E-06  1.16E-06  3.31E-06  3.21E-06  2.99E-06  2.45E-07
  1.62E-05  1.23E-06  4.98E-07  1.87E-06  2.12E-06  1.15E-06  3.31E-06  3.21E-06  2.99E-06  2.44E-07
  2.00E-05  1.23E-06  4.98E-07  1.87E-06  2.12E-06  1.15E-06  3.30E-06  3.21E-06  2.99E-06  2.44E-07
  2.47E-05  1.23E-06  4.98E-07  1.87E-06  2.12E-06  1.15E-06  3.30E-06  3.21E-06  2.98E-06  2.44E-07
  3.04E-05  1.23E-06  4.98E-07  1.87E-06  2.12E-06  1.15E-06  3.30E-06  3.21E-06  2.98E-06  2.44E-07
  3.73E-05  1.23E-06  4.98E-07  1.87E-06  2.12E-06  1.15E-06  3.30E-06  3.21E-06  2.98E-06  2.44E-07
  4.58E-05  1.23E-06  4.98E-07  1.87E-06  2.12E-06  1.15E-06  3.30E-06  3.21E-06  2.98E-06  2.44E-07
  5.60E-05  1.23E-06  4.98E-07  1.87E-06  2.12E-06  1.15E-06  3.30E-06  3.21E-06  2.98E-06  2.44E-07
  6.84E-05  1.23E-06  4.98E-07  1.87E-06  2.12E-06  1.15E-06  3.30E-06  3.21E-06  2.98E-06  2.44E-07
  8.35E-05  1.23E-06  4.98E-07  1.87E-06  2.12E-06  1.15E-06  3.30E-06  3.21E-06  2.99E-06  2.44E-07
  1.02E-04  1.23E-06  4.98E-07  1.87E-06  2.12E-06  1.15E-06  3.31E-06  3.21E-06  2.99E-06  2.45E-07
  1.24E-04  1.23E-06  4.99E-07  1.87E-06  2.12E-06  1.16E-06  3.31E-06  3.22E-06  2.99E-06  2.45E-07
  1.50E-04  1.23E-06  4.99E-07  1.87E-06  2.13E-06  1.16E-06  3.31E-06  3.22E-06  2.99E-06  2.45E-07
  1.81E-04  1.23E-06  4.99E-07  1.87E-06  2.13E-06  1.16E-06  3.32E-06  3.22E-06  3.00E-06  2.45E-07
  2.19E-04  1.23E-06  5.00E-07  1.87E-06  2.13E-06  1.16E-06  3.32E-06  3.23E-06  3.00E-06  2.45E-07
  2.65E-04  1.23E-06  5.00E-07  1.87E-06  2.13E-06  1.16E-06  3.32E-06  3.23E-06  3.00E-06  2.45E-07
  3.19E-04  1.23E-06  5.00E-07  1.88E-06  2.13E-06  1.16E-06  3.33E-06  3.23E-06  3.01E-06  2.45E-07
  3.83E-04  1.23E-06  5.00E-07  1.88E-06  2.13E-06  1.16E-06  3.33E-06  3.24E-06  3.01E-06  2.46E-07
  4.60E-04  1.23E-06  5.00E-07  1.88E-06  2.13E-06  1.16E-06  3.33E-06  3.24E-06  3.01E-06  2.46E-07
  5.51E-04  1.23E-06  5.00E-07  1.88E-06  2.14E-06  1.16E-06  3.33E-06  3.24E-06  3.02E-06  2.46E-07
  6.59E-04  1.23E-06  5.00E-07  1.88E-06  2.14E-06  1.16E-06  3.34E-06  3.25E-06  3.02E-06  2.46E-07
  7.87E-04  1.23E-06  4.99E-07  1.88E-06  2.14E-06  1.16E-06  3.34E-06  3.25E-06  3.02E-06  2.46E-07
  9.38E-04  1.22E-06  4.99E-07  1.87E-06  2.14E-06  1.16E-06  3.34E-06  3.25E-06  3.03E-06  2.46E-07
  1.12E-03  1.22E-06  4.98E-07  1.87E-06  2.13E-06  1.16E-06  3.34E-06  3.25E-06  3.03E-06  2.46E-07
  1.33E-03  1.21E-06  4.97E-07  1.87E-06  2.13E-06  1.16E-06  3.34E-06  3.25E-06  3.03E-06  2.46E-07
  1.57E-03  1.21E-06  4.96E-07  1.87E-06  2.13E-06  1.16E-06  3.34E-06  3.26E-06  3.03E-06  2.45E-07
  1.86E-03  1.20E-06  4.94E-07  1.86E-06  2.13E-06  1.16E-06  3.34E-06  3.26E-06  3.03E-06  2.45E-07
  2.20E-03  1.19E-06  4.92E-07  1.86E-06  2.12E-06  1.16E-06  3.33E-06  3.26E-06  3.04E-06  2.45E-07
  2.59E-03  1.19E-06  4.89E-07  1.85E-06  2.12E-06  1.16E-06  3.33E-06  3.25E-06  3.04E-06  2.45E-07
  3.05E-03  1.17E-06  4.86E-07  1.84E-06  2.11E-06  1.15E-06  3.33E-06  3.25E-06  3.04E-06  2.44E-07
  3.58E-03  1.16E-06  4.83E-07  1.83E-06  2.10E-06  1.15E-06  3.32E-06  3.25E-06  3.04E-06  2.44E-07
  4.20E-03  1.15E-06  4.79E-07  1.82E-06  2.09E-06  1.15E-06  3.31E-06  3.25E-06  3.03E-06  2.44E-07
  4.91E-03  1.13E-06  4.74E-07  1.80E-06  2.08E-06  1.14E-06  3.30E-06  3.24E-06  3.03E-06  2.43E-07
  5.74E-03  1.11E-06  4.68E-07  1.79E-06  2.07E-06  1.13E-06  3.29E-06  3.24E-06  3.03E-06  2.43E-07
  6.70E-03  1.09E-06  4.62E-07  1.77E-06  2.05E-06  1.13E-06  3.27E-06  3.23E-06  3.03E-06  2.43E-07
  7.80E-03  1.06E-06  4.55E-07  1.75E-06  2.03E-06  1.12E-06  3.26E-06  3.22E-06  3.02E-06  2.42E-07
  9.07E-03  1.04E-06  4.47E-07  1.72E-06  2.01E-06  1.11E-06  3.24E-06  3.21E-06  3.02E-06  2.42E-07
  1.05E-02  1.01E-06  4.38E-07  1.69E-06  1.99E-06  1.10E-06  3.22E-06  3.20E-06  3.01E-06  2.40E-07
  1.22E-02  9.74E-07  4.27E-07  1.66E-06  1.96E-06  1.09E-06  3.19E-06  3.18E-06  3.01E-06  2.38E-07
  1.41E-02  9.38E-07  4.16E-07  1.63E-06  1.93E-06  1.07E-06  3.16E-06  3.17E-06  3.00E-06  2.37E-07
  1.63E-02  8.98E-07  4.04E-07  1.59E-06  1.89E-06  1.06E-06  3.13E-06  3.15E-06  2.99E-06  2.35E-07
  1.87E-02  8.56E-07  3.90E-07  1.55E-06  1.85E-06  1.04E-06  3.10E-06  3.13E-06  2.98E-06  2.33E-07
  2.15E-02  8.12E-07  3.76E-07  1.50E-06  1.81E-06  1.02E-06  3.06E-06  3.11E-06  2.97E-06  2.32E-07
  2.47E-02  7.66E-07  3.60E-07  1.45E-06  1.77E-06  1.00E-06  3.01E-06  3.08E-06  2.96E-06  2.30E-07
  2.83E-02  7.18E-07  3.43E-07  1.39E-06  1.72E-06  9.77E-07  2.96E-06  3.05E-06  2.94E-06  2.28E-07
  3.24E-02  6.69E-07  3.26E-07  1.34E-06  1.66E-06  9.51E-07  2.91E-06  3.02E-06  2.93E-06  2.26E-07
  3.70E-02  6.20E-07  3.08E-07  1.27E-06  1.60E-06  9.23E-07  2.84E-06  2.98E-06  2.91E-06  2.24E-07
  4.22E-02  5.72E-07  2.89E-07  1.21E-06  1.54E-06  8.93E-07  2.78E-06  2.94E-06  2.89E-06  2.22E-07
  4.80E-02  5.25E-07  2.70E-07  1.14E-06  1.47E-06  8.61E-07  2.71E-06  2.90E-06  2.87E-06  2.20E-07
  5.45E-02  4.81E-07  2.50E-07  1.07E-06  1.40E-06  8.26E-07  2.63E-06  2.85E-06  2.84E-06  2.18E-07
  6.18E-02  4.39E-07  2.31E-07  1.00E-06  1.33E-06  7.90E-07  2.54E-06  2.79E-06  2.81E-06  2.16E-07
  6.99E-02  4.01E-07  2.13E-07  9.31E-07  1.25E-06  7.52E-07  2.45E-06  2.74E-06  2.78E-06  2.14E-07
  7.90E-02  3.67E-07  1.95E-07  8.61E-07  1.17E-06  7.13E-07  2.36E-06  2.67E-06  2.75E-06  2.11E-07
  8.90E-02  3.38E-07  1.79E-07  7.94E-07  1.10E-06  6.72E-07  2.26E-06  2.61E-06  2.71E-06  2.09E-07
  1.00E-01  3.13E-07  1.63E-07  7.29E-07  1.02E-06  6.31E-07  2.15E-06  2.53E-06  2.67E-06  2.05E-07
  1.13E-01  2.92E-07  1.50E-07  6.68E-07  9.42E-07  5.89E-07  2.04E-06  2.45E-06  2.63E-06  2.01E-07
  1.26E-01  2.76E-07  1.38E-07  6.11E-07  8.68E-07  5.48E-07  1.93E-06  2.37E-06  2.58E-06  1.97E-07
  1.41E-01  2.63E-07  1.27E-07  5.60E-07  7.98E-07  5.08E-07  1.82E-06  2.29E-06  2.53E-06  1.93E-07
  1.58E-01  2.53E-07  1.18E-07  5.14E-07  7.32E-07  4.68E-07  1.71E-06  2.19E-06  2.47E-06  1.89E-07
  1.76E-01  2.45E-07  1.11E-07  4.75E-07  6.71E-07  4.31E-07  1.59E-06  2.10E-06  2.41E-06  1.85E-07
  1.96E-01  2.39E-07  1.05E-07  4.41E-07  6.15E-07  3.96E-07  1.48E-06  2.00E-06  2.35E-06  1.80E-07
  2.18E-01  2.34E-07  1.00E-07  4.12E-07  5.65E-07  3.63E-07  1.37E-06  1.90E-06  2.28E-06  1.76E-07
  2.42E-01  2.29E-07  9.63E-08  3.88E-07  5.22E-07  3.33E-07  1.27E-06  1.80E-06  2.21E-06  1.71E-07
  2.68E-01  2.25E-07  9.32E-08  3.69E-07  4.84E-07  3.06E-07  1.17E-06  1.70E-06  2.14E-06  1.67E-07
  2.97E-01  2.21E-07  9.06E-08  3.53E-07  4.52E-07  2.82E-07  1.07E-06  1.59E-06  2.06E-06  1.62E-07
  3.27E-01  2.17E-07  8.84E-08  3.40E-07  4.25E-07  2.62E-07  9.85E-07  1.49E-06  1.99E-06  1.57E-07
  3.61E-01  2.13E-07  8.64E-08  3.29E-07  4.03E-07  2.44E-07  9.06E-07  1.39E-06  1.91E-06  1.53E-07
  3.97E-01  2.09E-07  8.45E-08  3.20E-07  3.84E-07  2.29E-07  8.34E-07  1.30E-06  1.83E-06  1.50E-07
  4.36E-01  2.04E-07  8.26E-08  3.12E-07  3.68E-07  2.16E-07  7.71E-07  1.20E-06  1.76E-06  1.50E-07
  4.77E-01  1.99E-07  8.07E-08  3.04E-07  3.55E-07  2.05E-07  7.15E-07  1.11E-06  1.70E-06  1.61E-07
  5.22E-01  1.94E-07  7.87E-08  2.96E-07  3.44E-07  1.96E-07  6.66E-07  1.03E-06  1.66E-06  1.80E-07
  5.70E-01  1.88E-07  7.66E-08  2.88E-07  3.33E-07  1.88E-07  6.24E-07  9.54E-07  1.69E-06  2.52E-07
  6.21E-01  1.82E-07  7.44E-08  2.81E-07  3.24E-07  1.81E-07  5.89E-07  8.91E-07  1.87E-06  4.35E-07
  6.76E-01  1.76E-07  7.20E-08  2.72E-07  3.14E-07  1.75E-07  5.57E-07  8.50E-07  2.37E-06  7.96E-07
  7.34E-01  1.69E-07  6.95E-08  2.63E-07  3.04E-07  1.69E-07  5.31E-07  8.43E-07  3.36E-06  1.44E-06
  7.96E-01  1.61E-07  6.68E-08  2.54E-07  2.94E-07  1.64E-07  5.07E-07  8.78E-07  5.02E-06  2.52E-06
  8.62E-01  1.53E-07  6.39E-08  2.44E-07  2.84E-07  1.58E-07  4.86E-07  1.00E-06  7.81E-06  4.28E-06
