     ALT          P          T          FH2O           FCO2           FH2O          PCO2          FSATUR(ND)
1.1806E+02  7.9084E-07 2.0000E+02    1.6586E-01    1.0551E-01    1.6586E-01    0.0000E+00    2.0961E+00    8.0000E-01
1.1659E+02  1.0085E-06 2.0000E+02    1.6586E-01    1.0551E-01    1.6586E-01    3.6084E-08    1.6437E+00    8.0000E-01
1.1514E+02  1.2836E-06 2.0000E+02    1.6586E-01    1.0551E-01    1.6586E-01    8.1705E-08    1.2914E+00    8.0000E-01
1.1370E+02  1.6308E-06 2.0000E+02    1.6586E-01    1.0551E-01    1.6586E-01    1.3928E-07    1.0164E+00    8.0000E-01
1.1227E+02  2.0682E-06 2.0000E+02    1.6586E-01    1.0551E-01    1.6586E-01    2.1178E-07    8.0151E-01    8.0000E-01
1.1085E+02  2.6179E-06 2.0000E+02    1.6586E-01    1.0551E-01    1.6586E-01    3.0294E-07    6.3319E-01    8.0000E-01
1.0944E+02  3.3078E-06 2.0000E+02    1.6586E-01    1.0551E-01    1.6586E-01    4.1731E-07    5.0114E-01    8.0000E-01
1.0804E+02  4.1716E-06 2.0000E+02    1.6586E-01    1.0551E-01    1.6586E-01    5.6054E-07    3.9737E-01    8.0000E-01
1.0665E+02  5.2514E-06 2.0000E+02    1.6586E-01    1.0551E-01    1.6586E-01    7.3957E-07    3.1566E-01    8.0000E-01
1.0528E+02  6.5985E-06 2.0000E+02    1.6586E-01    1.0551E-01    1.6586E-01    9.6292E-07    2.5122E-01    8.0000E-01
1.0391E+02  8.2759E-06 2.0023E+02    1.6586E-01    1.0551E-01    1.6586E-01    1.2410E-06    2.0733E-01    8.0000E-01
1.0255E+02  1.0361E-05 2.0186E+02    1.6990E-01    1.0500E-01    1.6586E-01    1.5986E-06    2.1237E-01    8.0000E-01
1.0119E+02  1.2946E-05 2.0351E+02    1.7391E-01    1.0449E-01    1.6586E-01    2.0400E-06    2.1738E-01    8.0000E-01
9.9834E+01  1.6148E-05 2.0517E+02    1.7788E-01    1.0399E-01    1.6586E-01    2.5839E-06    2.2235E-01    8.0000E-01
9.8474E+01  2.0104E-05 2.0684E+02    1.8183E-01    1.0349E-01    1.6586E-01    3.2527E-06    2.2728E-01    8.0000E-01
9.7115E+01  2.4983E-05 2.0852E+02    1.8574E-01    1.0300E-01    1.6586E-01    4.0736E-06    2.3218E-01    8.0000E-01
9.5757E+01  3.0989E-05 2.1021E+02    1.8963E-01    1.0250E-01    1.6586E-01    5.0793E-06    2.3703E-01    8.0000E-01
9.4399E+01  3.8368E-05 2.1190E+02    1.9348E-01    1.0202E-01    1.6586E-01    6.3090E-06    2.4185E-01    8.0000E-01
9.3043E+01  4.7417E-05 2.1361E+02    1.9730E-01    1.0153E-01    1.6586E-01    7.8098E-06    2.4662E-01    8.0000E-01
9.1687E+01  5.8492E-05 2.1533E+02    2.0109E-01    1.0105E-01    1.6586E-01    9.6380E-06    2.5136E-01    8.0000E-01
9.0332E+01  7.2021E-05 2.1705E+02    2.0484E-01    1.0058E-01    1.6586E-01    1.1861E-05    2.5605E-01    8.0000E-01
8.8979E+01  8.8515E-05 2.1879E+02    2.0857E-01    1.0011E-01    1.6586E-01    1.4558E-05    2.6071E-01    8.0000E-01
8.7627E+01  1.0859E-04 2.2054E+02    2.1226E-01    9.9641E-02    1.6586E-01    1.7825E-05    2.6533E-01    8.0000E-01
8.6277E+01  1.3296E-04 2.2229E+02    2.1592E-01    9.9178E-02    1.6586E-01    2.1774E-05    2.6990E-01    8.0000E-01
8.4928E+01  1.6252E-04 2.2406E+02    2.1955E-01    9.8719E-02    1.6586E-01    2.6539E-05    2.7444E-01    8.0000E-01
8.3581E+01  1.9827E-04 2.2583E+02    2.2315E-01    9.8264E-02    1.6586E-01    3.2277E-05    2.7894E-01    8.0000E-01
8.2236E+01  2.4144E-04 2.2762E+02    2.2671E-01    9.7813E-02    1.6586E-01    3.9174E-05    2.8339E-01    8.0000E-01
8.0893E+01  2.9347E-04 2.2941E+02    2.3025E-01    9.7366E-02    1.6586E-01    4.7449E-05    2.8781E-01    8.0000E-01
7.9552E+01  3.5605E-04 2.3121E+02    2.3375E-01    9.6923E-02    1.6586E-01    5.7357E-05    2.9218E-01    8.0000E-01
7.8214E+01  4.3119E-04 2.3303E+02    2.3721E-01    9.6485E-02    1.6586E-01    6.9198E-05    2.9652E-01    8.0000E-01
7.6878E+01  5.2122E-04 2.3485E+02    2.4065E-01    9.6051E-02    1.6586E-01    8.3322E-05    3.0081E-01    8.0000E-01
7.5545E+01  6.2889E-04 2.3668E+02    2.4405E-01    9.5620E-02    1.6586E-01    1.0014E-04    3.0506E-01    8.0000E-01
7.4214E+01  7.5740E-04 2.3851E+02    2.4742E-01    9.5194E-02    1.6586E-01    1.2012E-04    3.0927E-01    8.0000E-01
7.2887E+01  9.1048E-04 2.4036E+02    2.5075E-01    9.4772E-02    1.6586E-01    1.4381E-04    3.1344E-01    8.0000E-01
7.1562E+01  1.0925E-03 2.4221E+02    2.5406E-01    9.4354E-02    1.6586E-01    1.7294E-04    3.1757E-01    8.0000E-01
7.0242E+01  1.3085E-03 2.4408E+02    2.5733E-01    9.3941E-02    1.6586E-01    2.0735E-04    3.2166E-01    8.0000E-01
6.8924E+01  1.5643E-03 2.4595E+02    2.6056E-01    9.3531E-02    1.6586E-01    2.4793E-04    3.2570E-01    8.0000E-01
6.7610E+01  1.8667E-03 2.4782E+02    2.6377E-01    9.3126E-02    1.6586E-01    2.9569E-04    3.2971E-01    8.0000E-01
6.6300E+01  2.2234E-03 2.4971E+02    2.6694E-01    9.2725E-02    1.6586E-01    3.5178E-04    3.3367E-01    8.0000E-01
6.4994E+01  2.6433E-03 2.5160E+02    2.7007E-01    9.2328E-02    1.6586E-01    4.1755E-04    3.3759E-01    8.0000E-01
6.3692E+01  3.1369E-03 2.5350E+02    2.7318E-01    9.1936E-02    1.6586E-01    4.9450E-04    3.4147E-01    8.0000E-01
6.2394E+01  3.7157E-03 2.5541E+02    2.7625E-01    9.1547E-02    1.6586E-01    5.8436E-04    3.4531E-01    8.0000E-01
6.1101E+01  4.3932E-03 2.5732E+02    2.7929E-01    9.1163E-02    1.6586E-01    6.8911E-04    3.4911E-01    8.0000E-01
5.9813E+01  5.1847E-03 2.5924E+02    2.8229E-01    9.0783E-02    1.6586E-01    8.1096E-04    3.5286E-01    8.0000E-01
5.8529E+01  6.1075E-03 2.6116E+02    2.8526E-01    9.0408E-02    1.6586E-01    9.5244E-04    3.5657E-01    8.0000E-01
5.7251E+01  7.1813E-03 2.6309E+02    2.8820E-01    9.0036E-02    1.6586E-01    1.1164E-03    3.6024E-01    8.0000E-01
5.5978E+01  8.4284E-03 2.6503E+02    2.9110E-01    8.9669E-02    1.6586E-01    1.3060E-03    3.6387E-01    8.0000E-01
5.4710E+01  9.8738E-03 2.6697E+02    2.9397E-01    8.9306E-02    1.6586E-01    1.5249E-03    3.6746E-01    8.0000E-01
5.3447E+01  1.1546E-02 2.6891E+02    2.9680E-01    8.8947E-02    1.6586E-01    1.7771E-03    3.7100E-01    8.0000E-01
5.2191E+01  1.3476E-02 2.7086E+02    2.9961E-01    8.8593E-02    1.6586E-01    2.0670E-03    3.7451E-01    8.0000E-01
5.0941E+01  1.5700E-02 2.7281E+02    3.0237E-01    8.8243E-02    1.6586E-01    2.3998E-03    3.7797E-01    8.0000E-01
4.9696E+01  1.8257E-02 2.7502E+02    3.1057E-01    8.7206E-02    1.6586E-01    2.7794E-03    3.8821E-01    8.0000E-01
4.8456E+01  2.1191E-02 2.7725E+02    3.1155E-01    8.7082E-02    1.6586E-01    3.2122E-03    3.8944E-01    8.0000E-01
4.7222E+01  2.4552E-02 2.7951E+02    3.1572E-01    8.6554E-02    1.6586E-01    3.7060E-03    3.9465E-01    8.0000E-01
4.5994E+01  2.8394E-02 2.8176E+02    3.1819E-01    8.6242E-02    1.6586E-01    4.2677E-03    3.9773E-01    8.0000E-01
4.4771E+01  3.2776E-02 2.8404E+02    3.2048E-01    8.5953E-02    1.6586E-01    4.9062E-03    4.0060E-01    8.0000E-01
4.3554E+01  3.7765E-02 2.8632E+02    3.2428E-01    8.5472E-02    1.6586E-01    5.6298E-03    4.0535E-01    8.0000E-01
4.2344E+01  4.3433E-02 2.8861E+02    3.2493E-01    8.5390E-02    1.6586E-01    6.4493E-03    4.0616E-01    8.0000E-01
4.1140E+01  4.9860E-02 2.9092E+02    3.2988E-01    8.4763E-02    1.6586E-01    7.3746E-03    4.1235E-01    8.0000E-01
3.9942E+01  5.7132E-02 2.9322E+02    3.2911E-01    8.4861E-02    1.6586E-01    8.4183E-03    4.1138E-01    8.0000E-01
3.8751E+01  6.5344E-02 2.9555E+02    3.3503E-01    8.4112E-02    1.6586E-01    9.6394E-03    4.1879E-01    8.0000E-01
3.7568E+01  7.4599E-02 2.9787E+02    3.3477E-01    8.4145E-02    1.6586E-01    1.1010E-02    4.1846E-01    8.0000E-01
3.6392E+01  8.5007E-02 3.0021E+02    3.3997E-01    8.3487E-02    1.6586E-01    1.2545E-02    4.2497E-01    8.0000E-01
3.5223E+01  9.6690E-02 3.0255E+02    3.4052E-01    8.3417E-02    1.6586E-01    1.4261E-02    4.2565E-01    8.0000E-01
3.4062E+01  1.0978E-01 3.0491E+02    3.4476E-01    8.2881E-02    1.6586E-01    1.6176E-02    4.3095E-01    8.0000E-01
3.2909E+01  1.2440E-01 3.0726E+02    3.4600E-01    8.2725E-02    1.6586E-01    1.8308E-02    4.3250E-01    8.0000E-01
3.1764E+01  1.4072E-01 3.0963E+02    3.4939E-01    8.2296E-02    1.6586E-01    2.0677E-02    4.3674E-01    8.0000E-01
3.0628E+01  1.5888E-01 3.1199E+02    3.5122E-01    8.2065E-02    1.6586E-01    2.3304E-02    4.3902E-01    8.0000E-01
2.9500E+01  1.7906E-01 3.1437E+02    3.5387E-01    8.1729E-02    1.6586E-01    2.6212E-02    4.4234E-01    8.0000E-01
2.8382E+01  2.0142E-01 3.1674E+02    3.5618E-01    8.1436E-02    1.6586E-01    2.9424E-02    4.4523E-01    8.0000E-01
2.7273E+01  2.2617E-01 3.1912E+02    3.5818E-01    8.1184E-02    1.6586E-01    3.2965E-02    4.4773E-01    8.0000E-01
2.6173E+01  2.5348E-01 3.2150E+02    3.6092E-01    8.0837E-02    1.6586E-01    3.6859E-02    4.5115E-01    8.0000E-01
2.5083E+01  2.8357E-01 3.2388E+02    3.6233E-01    8.0659E-02    1.6586E-01    4.1136E-02    4.5291E-01    8.0000E-01
2.4002E+01  3.1665E-01 3.2626E+02    3.6543E-01    8.0266E-02    1.6586E-01    4.5820E-02    4.5679E-01    8.0000E-01
2.2933E+01  3.5294E-01 3.2864E+02    3.6629E-01    8.0158E-02    1.6586E-01    5.0943E-02    4.5786E-01    8.0000E-01
2.1873E+01  3.9266E-01 3.3101E+02    3.6972E-01    7.9724E-02    1.6586E-01    5.6531E-02    4.6216E-01    8.0000E-01
2.0825E+01  4.3604E-01 3.3338E+02    3.7005E-01    7.9682E-02    1.6586E-01    6.2617E-02    4.6257E-01    8.0000E-01
1.9788E+01  4.8333E-01 3.3575E+02    3.7379E-01    7.9209E-02    1.6586E-01    6.9229E-02    4.6724E-01    8.0000E-01
1.8762E+01  5.3475E-01 3.3811E+02    3.7374E-01    7.9216E-02    1.6586E-01    7.6398E-02    4.6717E-01    8.0000E-01
1.7747E+01  5.9056E-01 3.4047E+02    3.7763E-01    7.8723E-02    1.6586E-01    8.4155E-02    4.7204E-01    8.0000E-01
1.6745E+01  6.5099E-01 3.4281E+02    3.7802E-01    7.8674E-02    1.6586E-01    9.2525E-02    4.7253E-01    8.0000E-01
1.5755E+01  7.1629E-01 3.4516E+02    3.8131E-01    7.8258E-02    1.6586E-01    1.0154E-01    4.7664E-01    8.0000E-01
1.4777E+01  7.8667E-01 3.4748E+02    3.8214E-01    7.8153E-02    1.6586E-01    1.1123E-01    4.7767E-01    8.0000E-01
1.3813E+01  8.6239E-01 3.4980E+02    3.8479E-01    7.7818E-02    1.6586E-01    1.2162E-01    4.8098E-01    8.0000E-01
1.2861E+01  9.4365E-01 3.5211E+02    3.8606E-01    7.7657E-02    1.6586E-01    1.3274E-01    4.8258E-01    8.0000E-01
1.1923E+01  1.0307E+00 3.5440E+02    3.8803E-01    7.7407E-02    1.6586E-01    1.4461E-01    4.8504E-01    8.0000E-01
1.0998E+01  1.1236E+00 3.5668E+02    3.8976E-01    7.7189E-02    1.6586E-01    1.5726E-01    4.8721E-01    8.0000E-01
1.0087E+01  1.2227E+00 3.5894E+02    3.9100E-01    7.7032E-02    1.6586E-01    1.7071E-01    4.8875E-01    8.0000E-01
9.1908E+00  1.3281E+00 3.6118E+02    3.9321E-01    7.6753E-02    1.6586E-01    1.8497E-01    4.9151E-01    8.0000E-01
8.3089E+00  1.4399E+00 3.6340E+02    3.9363E-01    7.6700E-02    1.6586E-01    2.0007E-01    4.9204E-01    8.0000E-01
7.4419E+00  1.5583E+00 3.6561E+02    3.9634E-01    7.6357E-02    1.6586E-01    2.1601E-01    4.9543E-01    8.0000E-01
