     ALT          P          T          FH2O           FCO2           FH2O          PCO2          FSATUR(ND)
7.8015E+01  1.1218E-06 1.2502E+02    2.6284E-06    1.4139E-04    2.6801E-06    0.0000E+00    1.5245E-08    8.0000E-02
7.7131E+01  1.4104E-06 1.2504E+02    2.6284E-06    1.4139E-04    2.6801E-06    6.4122E-11    1.2216E-08    8.0000E-02
7.6255E+01  1.7701E-06 1.2508E+02    2.6284E-06    1.4139E-04    2.6801E-06    1.4406E-10    9.8721E-09    8.0000E-02
7.5385E+01  2.2178E-06 1.2514E+02    2.6284E-06    1.4139E-04    2.6801E-06    2.4353E-10    8.0675E-09    8.0000E-02
7.4522E+01  2.7739E-06 1.2522E+02    2.6284E-06    1.4139E-04    2.6801E-06    3.6708E-10    6.6529E-09    8.0000E-02
7.3664E+01  3.4634E-06 1.2536E+02    2.6284E-06    1.4139E-04    2.6801E-06    5.2028E-10    5.5474E-09    8.0000E-02
7.2813E+01  4.3168E-06 1.2568E+02    2.6284E-06    1.4139E-04    2.6801E-06    7.0989E-10    4.9832E-09    8.0000E-02
7.1964E+01  5.3712E-06 1.2631E+02    2.6284E-06    1.4139E-04    2.6801E-06    9.4415E-10    5.0404E-09    8.0000E-02
7.1118E+01  6.6714E-06 1.2738E+02    2.6284E-06    1.4139E-04    2.6801E-06    1.2330E-09    6.0594E-09    8.0000E-02
7.0269E+01  8.2721E-06 1.2891E+02    2.6284E-06    1.4139E-04    2.6801E-06    1.5887E-09    8.7522E-09    8.0000E-02
6.9416E+01  1.0239E-05 1.3085E+02    2.6284E-06    1.4139E-04    2.6801E-06    2.0257E-09    1.4497E-08    8.0000E-02
6.8557E+01  1.2652E-05 1.3306E+02    2.6284E-06    1.4139E-04    2.6801E-06    2.5617E-09    2.5852E-08    8.0000E-02
6.7691E+01  1.5605E-05 1.3541E+02    2.6284E-06    1.4139E-04    2.6801E-06    3.2180E-09    4.7099E-08    8.0000E-02
6.6816E+01  1.9216E-05 1.3783E+02    2.6284E-06    1.4139E-04    2.6801E-06    4.0202E-09    8.5188E-08    8.0000E-02
6.5934E+01  2.3620E-05 1.4024E+02    2.6284E-06    1.4139E-04    2.6801E-06    4.9987E-09    1.4959E-07    8.0000E-02
6.5045E+01  2.8983E-05 1.4260E+02    2.6284E-06    1.4139E-04    2.6801E-06    6.1904E-09    2.5111E-07    8.0000E-02
6.4149E+01  3.5503E-05 1.4486E+02    2.6284E-06    1.4139E-04    2.6801E-06    7.6390E-09    4.0109E-07    8.0000E-02
6.3247E+01  4.3414E-05 1.4703E+02    2.6284E-06    1.4139E-04    2.6801E-06    9.3966E-09    6.1209E-07    8.0000E-02
6.2340E+01  5.2995E-05 1.4914E+02    2.6284E-06    1.4139E-04    2.6801E-06    1.1525E-08    9.0127E-07    8.0000E-02
6.1428E+01  6.4579E-05 1.5122E+02    2.6284E-06    1.4139E-04    2.6801E-06    1.4099E-08    1.2990E-06    8.0000E-02
6.0512E+01  7.8557E-05 1.5335E+02    2.6284E-06    1.4139E-04    2.6801E-06    1.7205E-08    1.8630E-06    8.0000E-02
5.9592E+01  9.5397E-05 1.5556E+02    2.6284E-06    1.4139E-04    2.6801E-06    2.0946E-08    2.7035E-06    8.0000E-02
5.8666E+01  1.1564E-04 1.5788E+02    2.6284E-06    1.4139E-04    2.6801E-06    2.5445E-08    4.0191E-06    8.0000E-02
5.7736E+01  1.3995E-04 1.6019E+02    2.6284E-06    1.4139E-04    2.6801E-06    3.0844E-08    5.8614E-06    8.0000E-02
5.6801E+01  1.6906E-04 1.6237E+02    2.6284E-06    1.4139E-04    2.6801E-06    3.7313E-08    8.1341E-06    8.0000E-02
5.5864E+01  2.0388E-04 1.6436E+02    2.6284E-06    1.4139E-04    2.6801E-06    4.5049E-08    1.0654E-05    8.0000E-02
5.4924E+01  2.4544E-04 1.6616E+02    2.6284E-06    1.4139E-04    2.6801E-06    5.4283E-08    1.3226E-05    8.0000E-02
5.3984E+01  2.9496E-04 1.6779E+02    2.6284E-06    1.4139E-04    2.6801E-06    6.5286E-08    1.5724E-05    8.0000E-02
5.3044E+01  3.5386E-04 1.6931E+02    2.6284E-06    1.4139E-04    2.6801E-06    7.8372E-08    1.8139E-05    8.0000E-02
5.2106E+01  4.2378E-04 1.7077E+02    2.6284E-06    1.4139E-04    2.6801E-06    9.3908E-08    2.0575E-05    8.0000E-02
5.1168E+01  5.0664E-04 1.7223E+02    2.6284E-06    1.4139E-04    2.6801E-06    1.1232E-07    2.3244E-05    8.0000E-02
5.0232E+01  6.0465E-04 1.7374E+02    2.6284E-06    1.4139E-04    2.6801E-06    1.3409E-07    2.6476E-05    8.0000E-02
4.9297E+01  7.2036E-04 1.7536E+02    2.6284E-06    1.4139E-04    2.6801E-06    1.5980E-07    3.0722E-05    8.0000E-02
4.8363E+01  8.5673E-04 1.7712E+02    2.6284E-06    1.4139E-04    2.6801E-06    1.9010E-07    3.6568E-05    8.0000E-02
4.7429E+01  1.0172E-03 1.7905E+02    2.6284E-06    1.4139E-04    2.6801E-06    2.2575E-07    4.4740E-05    8.0000E-02
4.6493E+01  1.2055E-03 1.8113E+02    2.6284E-06    1.4139E-04    2.6801E-06    2.6760E-07    5.6091E-05    8.0000E-02
4.5557E+01  1.4263E-03 1.8331E+02    2.6284E-06    1.4139E-04    2.6801E-06    3.1665E-07    7.1139E-05    8.0000E-02
4.4620E+01  1.6845E-03 1.8554E+02    2.6284E-06    1.4139E-04    2.6801E-06    3.7403E-07    9.0256E-05    8.0000E-02
4.3681E+01  1.9861E-03 1.8778E+02    2.6284E-06    1.4139E-04    2.6801E-06    4.4103E-07    1.1357E-04    8.0000E-02
4.2742E+01  2.3376E-03 1.8997E+02    2.6284E-06    1.4139E-04    2.6801E-06    5.1913E-07    1.4094E-04    8.0000E-02
4.1802E+01  2.7466E-03 1.9211E+02    2.6284E-06    1.4139E-04    2.6801E-06    6.0999E-07    1.7196E-04    8.0000E-02
4.0862E+01  3.2215E-03 1.9419E+02    2.6284E-06    1.4139E-04    2.6801E-06    7.1550E-07    2.0611E-04    8.0000E-02
