     ALT          P          T          FH2O           FCO2           FH2O          PCO2          FSATUR(ND)
6.5371E+01  7.6890E-06 1.9403E+02    3.0732E-07    1.1300E-03    3.0743E-07    0.0000E+00    8.3872E-02    8.0000E-02
6.4272E+01  9.2704E-06 1.8835E+02    3.0732E-07    1.1300E-03    3.0743E-07    2.8082E-09    2.5125E-02    8.0000E-02
6.3213E+01  1.1161E-05 1.8348E+02    3.0732E-07    1.1300E-03    3.0743E-07    6.1659E-09    9.3270E-03    8.0000E-02
6.2187E+01  1.3419E-05 1.7922E+02    3.0732E-07    1.1300E-03    3.0743E-07    1.0175E-08    3.4334E-03    8.0000E-02
6.1193E+01  1.6110E-05 1.7544E+02    3.0732E-07    1.1300E-03    3.0743E-07    1.4953E-08    1.3685E-03    8.0000E-02
6.0226E+01  1.9314E-05 1.7218E+02    3.0732E-07    1.1300E-03    3.0743E-07    2.0642E-08    5.9361E-04    8.0000E-02
5.9284E+01  2.3121E-05 1.6932E+02    3.0732E-07    1.1300E-03    3.0743E-07    2.7404E-08    2.7222E-04    8.0000E-02
5.8364E+01  2.7641E-05 1.6681E+02    3.0732E-07    1.1300E-03    3.0743E-07    3.5429E-08    1.3240E-04    8.0000E-02
5.7464E+01  3.2996E-05 1.6462E+02    3.0732E-07    1.1300E-03    3.0743E-07    4.4939E-08    6.7796E-05    8.0000E-02
5.6583E+01  3.9334E-05 1.6271E+02    3.0732E-07    1.1300E-03    3.0743E-07    5.6193E-08    3.6829E-05    8.0000E-02
5.5719E+01  4.6823E-05 1.6111E+02    3.0732E-07    1.1300E-03    3.0743E-07    6.9490E-08    2.1231E-05    8.0000E-02
5.4869E+01  5.5658E-05 1.5980E+02    3.0732E-07    1.1300E-03    3.0743E-07    8.5179E-08    1.3078E-05    8.0000E-02
5.4033E+01  6.6066E-05 1.5881E+02    3.0732E-07    1.1300E-03    3.0743E-07    1.0366E-07    8.6549E-06    8.0000E-02
5.3209E+01  7.8310E-05 1.5813E+02    3.0732E-07    1.1300E-03    3.0743E-07    1.2540E-07    6.1867E-06    8.0000E-02
5.2394E+01  9.2691E-05 1.5779E+02    3.0732E-07    1.1300E-03    3.0743E-07    1.5094E-07    4.8023E-06    8.0000E-02
5.1587E+01  1.0956E-04 1.5779E+02    3.0732E-07    1.1300E-03    3.0743E-07    1.8089E-07    4.0677E-06    8.0000E-02
5.0786E+01  1.2931E-04 1.5809E+02    3.0732E-07    1.1300E-03    3.0743E-07    2.1596E-07    3.7271E-06    8.0000E-02
4.9990E+01  1.5241E-04 1.5865E+02    3.0732E-07    1.1300E-03    3.0743E-07    2.5698E-07    3.6344E-06    8.0000E-02
4.9198E+01  1.7938E-04 1.5941E+02    3.0732E-07    1.1300E-03    3.0743E-07    3.0487E-07    3.7208E-06    8.0000E-02
4.8409E+01  2.1082E-04 1.6032E+02    3.0732E-07    1.1300E-03    3.0743E-07    3.6069E-07    3.9498E-06    8.0000E-02
4.7622E+01  2.4742E-04 1.6133E+02    3.0732E-07    1.1300E-03    3.0743E-07    4.2569E-07    4.2956E-06    8.0000E-02
4.6838E+01  2.8996E-04 1.6242E+02    3.0732E-07    1.1300E-03    3.0743E-07    5.0123E-07    4.7338E-06    8.0000E-02
4.6055E+01  3.3933E-04 1.6353E+02    3.0732E-07    1.1300E-03    3.0743E-07    5.8891E-07    5.2374E-06    8.0000E-02
4.5275E+01  3.9655E-04 1.6464E+02    3.0732E-07    1.1300E-03    3.0743E-07    6.9051E-07    5.7764E-06    8.0000E-02
4.4496E+01  4.6277E-04 1.6572E+02    3.0732E-07    1.1300E-03    3.0743E-07    8.0809E-07    6.3198E-06    8.0000E-02
4.3720E+01  5.3927E-04 1.6676E+02    3.0732E-07    1.1300E-03    3.0743E-07    9.4394E-07    6.8391E-06    8.0000E-02
4.2946E+01  6.2753E-04 1.6776E+02    3.0732E-07    1.1300E-03    3.0743E-07    1.1007E-06    7.3117E-06    8.0000E-02
4.2176E+01  7.2920E-04 1.6871E+02    3.0732E-07    1.1300E-03    3.0743E-07    1.2812E-06    7.7244E-06    8.0000E-02
4.1409E+01  8.4613E-04 1.6961E+02    3.0732E-07    1.1300E-03    3.0743E-07    1.4888E-06    8.0734E-06    8.0000E-02
4.0645E+01  9.8043E-04 1.7047E+02    3.0732E-07    1.1300E-03    3.0743E-07    1.7273E-06    8.3625E-06    8.0000E-02
3.9885E+01  1.1344E-03 1.7130E+02    3.0732E-07    1.1300E-03    3.0743E-07    2.0008E-06    8.6002E-06    8.0000E-02
3.9129E+01  1.3108E-03 1.7209E+02    3.0732E-07    1.1300E-03    3.0743E-07    2.3139E-06    8.7812E-06    8.0000E-02
3.8377E+01  1.5124E-03 1.7285E+02    3.0732E-07    1.1300E-03    3.0743E-07    2.6719E-06    8.8961E-06    8.0000E-02
3.7630E+01  1.7425E-03 1.7356E+02    3.0732E-07    1.1300E-03    3.0743E-07    3.0805E-06    8.9322E-06    8.0000E-02
3.6888E+01  2.0048E-03 1.7422E+02    3.0732E-07    1.1300E-03    3.0743E-07    3.5463E-06    8.8731E-06    8.0000E-02
3.6150E+01  2.3033E-03 1.7481E+02    3.0732E-07    1.1300E-03    3.0743E-07    4.0764E-06    8.7031E-06    8.0000E-02
3.5418E+01  2.6425E-03 1.7532E+02    3.0732E-07    1.1300E-03    3.0743E-07    4.6787E-06    8.4149E-06    8.0000E-02
3.4692E+01  3.0274E-03 1.7576E+02    3.0732E-07    1.1300E-03    3.0743E-07    5.3621E-06    8.0146E-06    8.0000E-02
