     ALT          P          T          FH2O           FCO2           FH2O          PCO2          FSATUR(ND)
8.1966E+01  8.0105E-07 1.7330E+02    1.1023E-05    9.0260E-01    1.1049E-05    0.0000E+00    1.8384E-02    8.0000E-01
8.1012E+01  1.0479E-06 1.7506E+02    1.1023E-05    9.0260E-01    1.1049E-05    2.3345E-07    2.5188E-02    8.0000E-01
8.0062E+01  1.3681E-06 1.7485E+02    1.1023E-05    9.0260E-01    1.1049E-05    5.3621E-07    1.3778E-02    8.0000E-01
7.9122E+01  1.7825E-06 1.7405E+02    1.1023E-05    9.0260E-01    1.1049E-05    9.2804E-07    9.7911E-03    8.0000E-01
7.8193E+01  2.3177E-06 1.7332E+02    1.1023E-05    9.0260E-01    1.1049E-05    1.4341E-06    6.5125E-03    8.0000E-01
7.7277E+01  3.0073E-06 1.7227E+02    1.1023E-05    9.0260E-01    1.1049E-05    2.0862E-06    3.9884E-03    8.0000E-01
7.6374E+01  3.8943E-06 1.7108E+02    1.1023E-05    9.0260E-01    1.1049E-05    2.9250E-06    2.3667E-03    8.0000E-01
7.5484E+01  5.0327E-06 1.7002E+02    1.1023E-05    9.0260E-01    1.1049E-05    4.0013E-06    1.4518E-03    8.0000E-01
7.4606E+01  6.4905E-06 1.6924E+02    1.1023E-05    9.0260E-01    1.1049E-05    5.3799E-06    9.5534E-04    8.0000E-01
7.3739E+01  8.3536E-06 1.6873E+02    1.1023E-05    9.0260E-01    1.1049E-05    7.1416E-06    6.6979E-04    8.0000E-01
7.2881E+01  1.0730E-05 1.6839E+02    1.1023E-05    9.0260E-01    1.1049E-05    9.3883E-06    4.8752E-04    8.0000E-01
7.2032E+01  1.3753E-05 1.6810E+02    1.1023E-05    9.0260E-01    1.1049E-05    1.2247E-05    3.5876E-04    8.0000E-01
7.1192E+01  1.7593E-05 1.6780E+02    1.1023E-05    9.0260E-01    1.1049E-05    1.5879E-05    2.6254E-04    8.0000E-01
7.0361E+01  2.2460E-05 1.6748E+02    1.1023E-05    9.0260E-01    1.1049E-05    2.0480E-05    1.9117E-04    8.0000E-01
6.9538E+01  2.8614E-05 1.6722E+02    1.1023E-05    9.0260E-01    1.1049E-05    2.6299E-05    1.4080E-04    8.0000E-01
6.8723E+01  3.6380E-05 1.6711E+02    1.1023E-05    9.0260E-01    1.1049E-05    3.3643E-05    1.0768E-04    8.0000E-01
6.7915E+01  4.6159E-05 1.6722E+02    1.1023E-05    9.0260E-01    1.1049E-05    4.2890E-05    8.7131E-05    8.0000E-01
6.7113E+01  5.8449E-05 1.6752E+02    1.1023E-05    9.0260E-01    1.1049E-05    5.4511E-05    7.4028E-05    8.0000E-01
6.6317E+01  7.3859E-05 1.6790E+02    1.1023E-05    9.0260E-01    1.1049E-05    6.9082E-05    6.4028E-05    8.0000E-01
6.5526E+01  9.3143E-05 1.6823E+02    1.1023E-05    9.0260E-01    1.1049E-05    8.7317E-05    5.4726E-05    8.0000E-01
6.4741E+01  1.1722E-04 1.6845E+02    1.1023E-05    9.0260E-01    1.1049E-05    1.1009E-04    4.5845E-05    8.0000E-01
6.3963E+01  1.4723E-04 1.6847E+02    1.1023E-05    9.0260E-01    1.1049E-05    1.3846E-04    3.6744E-05    8.0000E-01
6.3192E+01  1.8453E-04 1.6830E+02    1.1023E-05    9.0260E-01    1.1049E-05    1.7373E-04    2.8071E-05    8.0000E-01
6.2429E+01  2.3082E-04 1.6806E+02    1.1023E-05    9.0260E-01    1.1049E-05    2.1750E-04    2.0986E-05    8.0000E-01
6.1674E+01  2.8814E-04 1.6796E+02    1.1023E-05    9.0260E-01    1.1049E-05    2.7170E-04    1.6214E-05    8.0000E-01
6.0926E+01  3.5895E-04 1.6832E+02    1.1049E-05    9.0260E-01    1.1049E-05    3.3866E-04    1.3779E-05    8.0000E-01
6.0182E+01  4.4626E-04 1.6918E+02    1.1152E-05    9.0260E-01    1.1049E-05    4.2121E-04    1.3940E-05    8.0000E-01
5.9440E+01  5.5367E-04 1.7050E+02    1.1903E-05    9.0260E-01    1.1049E-05    5.2278E-04    1.4879E-05    8.0000E-01
5.8700E+01  6.8553E-04 1.7192E+02    1.2918E-05    9.0260E-01    1.1049E-05    6.4747E-04    1.6147E-05    8.0000E-01
5.7960E+01  8.4708E-04 1.7406E+02    1.6219E-05    9.0260E-01    1.1049E-05    8.0022E-04    2.0274E-05    8.0000E-01
5.7217E+01  1.0446E-03 1.7618E+02    2.0114E-05    9.0259E-01    1.1049E-05    9.8695E-04    2.5142E-05    8.0000E-01
5.6473E+01  1.2855E-03 1.7853E+02    2.5853E-05    9.0259E-01    1.1049E-05    1.2147E-03    3.2316E-05    8.0000E-01
5.5726E+01  1.5787E-03 1.8110E+02    3.4254E-05    9.0258E-01    1.1049E-05    1.4920E-03    4.2818E-05    8.0000E-01
5.4976E+01  1.9349E-03 1.8359E+02    4.4210E-05    9.0257E-01    1.1049E-05    1.8288E-03    5.5263E-05    8.0000E-01
5.4222E+01  2.3666E-03 1.8639E+02    5.9724E-05    9.0256E-01    1.1049E-05    2.2370E-03    7.4655E-05    8.0000E-01
5.3467E+01  2.8887E-03 1.8842E+02    6.9776E-05    9.0255E-01    1.1049E-05    2.7307E-03    8.7219E-05    8.0000E-01
5.2709E+01  3.5189E-03 1.9193E+02    1.0385E-04    9.0252E-01    1.1049E-05    3.3265E-03    1.2981E-04    8.0000E-01
5.1945E+01  4.2778E-03 1.9548E+02    1.5257E-04    9.0247E-01    1.1049E-05    4.0441E-03    1.9072E-04    8.0000E-01
5.1164E+01  5.1898E-03 2.0471E+02    5.1756E-04    9.0214E-01    1.1049E-05    4.9061E-03    6.4695E-04    8.0000E-01
5.0357E+01  6.2834E-03 2.1313E+02    1.3962E-03    9.0135E-01    1.1049E-05    5.9392E-03    1.7452E-03    8.0000E-01
4.9529E+01  7.5920E-03 2.2036E+02    2.9688E-03    8.9993E-01    1.1049E-05    7.1739E-03    3.7110E-03    8.0000E-01
