     ALT          P          T          FH2O           FCO2           FH2O          PCO2          FSATUR(ND)
1.0302E+02  8.0453E-07 1.7607E+02    1.5563E-05    4.3575E-01    1.5575E-05    0.0000E+00    3.1937E-02    8.0000E-01
1.0181E+02  1.0616E-06 1.7179E+02    1.5563E-05    4.3575E-01    1.5575E-05    1.4498E-07    1.1297E-02    8.0000E-01
1.0065E+02  1.3979E-06 1.6749E+02    1.5563E-05    4.3575E-01    1.5575E-05    3.3464E-07    2.4839E-03    8.0000E-01
9.9524E+01  1.8369E-06 1.6475E+02    1.5563E-05    4.3575E-01    1.5575E-05    5.8219E-07    1.2436E-03    8.0000E-01
9.8419E+01  2.4087E-06 1.6324E+02    1.5563E-05    4.3575E-01    1.5575E-05    9.0463E-07    6.9236E-04    8.0000E-01
9.7332E+01  3.1518E-06 1.6181E+02    1.5563E-05    4.3575E-01    1.5575E-05    1.3237E-06    3.7921E-04    8.0000E-01
9.6264E+01  4.1155E-06 1.6039E+02    1.5563E-05    4.3575E-01    1.5575E-05    1.8671E-06    2.0586E-04    8.0000E-01
9.5214E+01  5.3626E-06 1.5910E+02    1.5563E-05    4.3575E-01    1.5575E-05    2.5704E-06    1.1471E-04    8.0000E-01
9.4180E+01  6.9729E-06 1.5806E+02    1.5563E-05    4.3575E-01    1.5575E-05    3.4784E-06    6.8106E-05    8.0000E-01
9.3160E+01  9.0477E-06 1.5737E+02    1.5563E-05    4.3575E-01    1.5575E-05    4.6484E-06    4.4107E-05    8.0000E-01
9.2152E+01  1.1715E-05 1.5706E+02    1.5563E-05    4.3575E-01    1.5575E-05    6.1526E-06    3.1595E-05    8.0000E-01
9.1153E+01  1.5137E-05 1.5712E+02    1.5563E-05    4.3575E-01    1.5575E-05    8.0824E-06    2.4943E-05    8.0000E-01
9.0161E+01  1.9518E-05 1.5749E+02    1.5563E-05    4.3575E-01    1.5575E-05    1.0553E-05    2.1318E-05    8.0000E-01
8.9175E+01  2.5113E-05 1.5809E+02    1.5563E-05    4.3575E-01    1.5575E-05    1.3708E-05    1.9300E-05    8.0000E-01
8.8193E+01  3.2244E-05 1.5886E+02    1.5563E-05    4.3575E-01    1.5575E-05    1.7729E-05    1.8170E-05    8.0000E-01
8.7214E+01  4.1313E-05 1.5978E+02    1.5563E-05    4.3575E-01    1.5575E-05    2.2844E-05    1.7664E-05    8.0000E-01
8.6238E+01  5.2823E-05 1.6085E+02    1.5563E-05    4.3575E-01    1.5575E-05    2.9334E-05    1.7824E-05    8.0000E-01
8.5263E+01  6.7396E-05 1.6211E+02    1.5563E-05    4.3575E-01    1.5575E-05    3.7552E-05    1.8796E-05    8.0000E-01
8.4290E+01  8.5810E-05 1.6354E+02    1.5563E-05    4.3575E-01    1.5575E-05    4.7936E-05    2.0624E-05    8.0000E-01
8.3316E+01  1.0902E-04 1.6505E+02    1.5563E-05    4.3575E-01    1.5575E-05    6.1027E-05    2.3176E-05    8.0000E-01
8.2342E+01  1.3823E-04 1.6645E+02    1.5563E-05    4.3575E-01    1.5575E-05    7.7496E-05    2.5373E-05    8.0000E-01
8.1371E+01  1.7489E-04 1.6753E+02    1.5563E-05    4.3575E-01    1.5575E-05    9.8168E-05    2.5455E-05    8.0000E-01
8.0403E+01  2.2080E-04 1.6826E+02    1.5563E-05    4.3575E-01    1.5575E-05    1.2406E-04    2.3310E-05    8.0000E-01
7.9440E+01  2.7819E-04 1.6888E+02    1.5563E-05    4.3575E-01    1.5575E-05    1.5642E-04    2.0587E-05    8.0000E-01
7.8482E+01  3.4975E-04 1.6969E+02    1.5563E-05    4.3575E-01    1.5575E-05    1.9678E-04    1.9630E-05    8.0000E-01
7.7528E+01  4.3880E-04 1.7069E+02    1.5575E-05    4.3575E-01    1.5575E-05    2.4699E-04    1.9454E-05    8.0000E-01
7.6578E+01  5.4937E-04 1.7177E+02    1.5625E-05    4.3575E-01    1.5575E-05    3.0934E-04    1.9532E-05    8.0000E-01
