     ALT          P          T          FH2O           FCO2           FH2O          PCO2          FSATUR(ND)
8.9021E+01  1.1013E-05 3.2770E+02    7.1146E-06    1.4139E-04    7.2350E-06    0.0000E+00    1.4024E+04    8.0000E-02
8.7071E+01  1.3348E-05 3.2770E+02    7.1146E-06    1.4139E-04    7.2350E-06    5.1870E-10    1.1571E+04    8.0000E-02
8.5136E+01  1.6153E-05 3.2763E+02    7.1146E-06    1.4139E-04    7.2350E-06    1.1421E-09    9.5614E+03    8.0000E-02
8.3224E+01  1.9521E-05 3.2562E+02    7.1146E-06    1.4139E-04    7.2350E-06    1.8902E-09    7.8133E+03    8.0000E-02
8.1349E+01  2.3555E-05 3.2036E+02    7.1146E-06    1.4139E-04    7.2350E-06    2.7867E-09    4.4932E+03    8.0000E-02
7.9522E+01  2.8383E-05 3.1403E+02    7.1146E-06    1.4139E-04    7.2350E-06    3.8592E-09    2.7502E+03    8.0000E-02
7.7749E+01  3.4149E-05 3.0735E+02    7.1146E-06    1.4139E-04    7.2350E-06    5.1405E-09    1.6309E+03    8.0000E-02
7.6029E+01  4.1028E-05 3.0002E+02    7.1146E-06    1.4139E-04    7.2350E-06    6.6688E-09    8.3718E+02    8.0000E-02
7.4362E+01  4.9220E-05 2.9397E+02    7.1146E-06    1.4139E-04    7.2350E-06    8.4889E-09    4.8214E+02    8.0000E-02
7.2737E+01  5.8962E-05 2.9009E+02    7.1146E-06    1.4139E-04    7.2350E-06    1.0653E-08    3.2409E+02    8.0000E-02
7.1143E+01  7.0529E-05 2.8763E+02    7.1146E-06    1.4139E-04    7.2350E-06    1.3223E-08    2.3256E+02    8.0000E-02
6.9574E+01  8.4242E-05 2.8597E+02    7.1146E-06    1.4139E-04    7.2350E-06    1.6270E-08    1.7611E+02    8.0000E-02
6.8027E+01  1.0047E-04 2.8471E+02    7.1146E-06    1.4139E-04    7.2350E-06    1.9877E-08    1.3731E+02    8.0000E-02
6.6500E+01  1.1966E-04 2.8344E+02    7.1146E-06    1.4139E-04    7.2350E-06    2.4140E-08    1.0566E+02    8.0000E-02
6.4994E+01  1.4230E-04 2.8190E+02    7.1146E-06    1.4139E-04    7.2350E-06    2.9170E-08    8.0389E+01    8.0000E-02
6.3510E+01  1.6898E-04 2.8007E+02    7.1146E-06    1.4139E-04    7.2350E-06    3.5098E-08    5.9928E+01    8.0000E-02
6.2050E+01  2.0037E-04 2.7802E+02    7.1146E-06    1.4139E-04    7.2350E-06    4.2073E-08    4.3340E+01    8.0000E-02
6.0615E+01  2.3725E-04 2.7548E+02    7.1146E-06    1.4139E-04    7.2350E-06    5.0265E-08    3.1593E+01    8.0000E-02
5.9209E+01  2.8050E-04 2.7138E+02    7.1146E-06    1.4139E-04    7.2350E-06    5.9875E-08    2.0193E+01    8.0000E-02
5.7843E+01  3.3115E-04 2.6531E+02    7.1146E-06    1.4139E-04    7.2350E-06    7.1129E-08    9.4226E+00    8.0000E-02
5.6522E+01  3.9038E-04 2.5837E+02    7.1146E-06    1.4139E-04    7.2350E-06    8.4289E-08    4.3918E+00    8.0000E-02
5.5248E+01  4.5953E-04 2.5136E+02    7.1146E-06    1.4139E-04    7.2350E-06    9.9654E-08    1.8650E+00    8.0000E-02
5.4019E+01  5.4015E-04 2.4488E+02    7.1146E-06    1.4139E-04    7.2350E-06    1.1756E-07    8.1864E-01    8.0000E-02
5.2832E+01  6.3398E-04 2.3946E+02    7.1146E-06    1.4139E-04    7.2350E-06    1.3841E-07    3.9879E-01    8.0000E-02
5.1679E+01  7.4303E-04 2.3503E+02    7.1146E-06    1.4139E-04    7.2350E-06    1.6264E-07    2.1068E-01    8.0000E-02
5.0557E+01  8.6956E-04 2.3139E+02    7.1146E-06    1.4139E-04    7.2350E-06    1.9075E-07    1.1978E-01    8.0000E-02
4.9461E+01  1.0162E-03 2.2842E+02    7.1146E-06    1.4139E-04    7.2350E-06    2.2333E-07    7.2774E-02    8.0000E-02
4.8388E+01  1.1857E-03 2.2600E+02    7.1146E-06    1.4139E-04    7.2350E-06    2.6101E-07    4.7003E-02    8.0000E-02
4.7337E+01  1.3816E-03 2.2401E+02    7.1146E-06    1.4139E-04    7.2350E-06    3.0452E-07    3.1779E-02    8.0000E-02
4.6304E+01  1.6075E-03 2.2234E+02    7.1146E-06    1.4139E-04    7.2350E-06    3.5471E-07    2.2282E-02    8.0000E-02
4.5289E+01  1.8676E-03 2.2092E+02    7.1146E-06    1.4139E-04    7.2350E-06    4.1250E-07    1.6089E-02    8.0000E-02
4.4289E+01  2.1666E-03 2.1970E+02    7.1146E-06    1.4139E-04    7.2350E-06    4.7893E-07    1.1902E-02    8.0000E-02
4.3305E+01  2.5098E-03 2.1864E+02    7.1146E-06    1.4139E-04    7.2350E-06    5.5518E-07    8.9847E-03    8.0000E-02
4.2336E+01  2.9031E-03 2.1772E+02    7.1146E-06    1.4139E-04    7.2350E-06    6.4258E-07    6.9008E-03    8.0000E-02
4.1380E+01  3.3532E-03 2.1691E+02    7.1146E-06    1.4139E-04    7.2350E-06    7.4258E-07    5.3803E-03    8.0000E-02
4.0438E+01  3.8674E-03 2.1620E+02    7.1146E-06    1.4139E-04    7.2350E-06    8.5683E-07    4.2504E-03    8.0000E-02
3.9508E+01  4.4540E-03 2.1556E+02    7.1146E-06    1.4139E-04    7.2350E-06    9.8716E-07    3.3974E-03    8.0000E-02
3.8591E+01  5.1221E-03 2.1500E+02    7.1146E-06    1.4139E-04    7.2350E-06    1.1356E-06    2.7443E-03    8.0000E-02
3.7685E+01  5.8818E-03 2.1451E+02    7.1146E-06    1.4139E-04    7.2350E-06    1.3044E-06    2.2379E-03    8.0000E-02
3.6792E+01  6.7443E-03 2.1407E+02    7.1146E-06    1.4139E-04    7.2350E-06    1.4960E-06    1.8410E-03    8.0000E-02
3.5910E+01  7.7221E-03 2.1368E+02    7.1146E-06    1.4139E-04    7.2350E-06    1.7133E-06    1.5269E-03    8.0000E-02
3.5039E+01  8.8287E-03 2.1335E+02    7.1146E-06    1.4139E-04    7.2350E-06    1.9591E-06    1.2766E-03    8.0000E-02
3.4179E+01  1.0079E-02 2.1306E+02    7.1146E-06    1.4139E-04    7.2350E-06    2.2370E-06    1.0760E-03    8.0000E-02
3.3330E+01  1.1490E-02 2.1283E+02    7.1146E-06    1.4139E-04    7.2350E-06    2.5504E-06    9.1464E-04    8.0000E-02
3.2492E+01  1.3079E-02 2.1267E+02    7.1146E-06    1.4139E-04    7.2350E-06    2.9035E-06    7.8516E-04    8.0000E-02
3.1663E+01  1.4867E-02 2.1256E+02    7.1146E-06    1.4139E-04    7.2350E-06    3.3007E-06    6.8130E-04    8.0000E-02
3.0845E+01  1.6874E-02 2.1252E+02    7.1146E-06    1.4139E-04    7.2350E-06    3.7466E-06    5.9767E-04    8.0000E-02
